gene,pan1wt,pan2wt,pan3ko,pan4ko,pan5ko,pan6ko,pan7wt,pan8wt
Adgrl2,37.29,37.74,22.517,21.242,64.284,38.426,11.355,165.779
Adgrl3,10.04,17.155,25.115,29.412,41.784,31.901,19.682,87.875
Adgrl4,7.171,9.435,6.928,1.634,6.428,0.725,0,4.363
Adgrv1,2.868,2.573,0,0,0,3.625,3.028,0
Adh1,0,0.858,0,0,0,0,0.757,1.246
Adh4,0,0,0,0,0,0,0,0
Adh5,329.876,327.654,311.776,334.157,289.277,320.456,310.368,309.745
Adh6-ps1,0,0,0,0,0,0,0,0
Adh6a,0,0,0,0,0,0,0,0
Adh6b,0,0,0,0,0,0,0,0
Adh7,2.868,1.715,0,0,0,0,0.757,10.595
Adhfe1,2.868,2.573,4.33,6.536,12.857,2.9,3.028,9.972
Adi1,90.357,77.196,40.704,64.544,99.64,96.427,81.756,102.833
Adig,0,0,0,0,0,0,0.757,0
Adipoq,0,0,0,0,0,0,0,0
Adipor1,1236.317,1235.995,1131.92,1205.906,970.685,1020.819,1056.766,927.988
Adipor2,728.595,772.818,782.904,785.963,581.768,643.812,751.697,602.662
Adk,32.988,42.887,56.293,45.753,80.355,42.051,65.102,92.861
Adm,1.434,2.573,0.866,0.817,3.214,2.175,0.757,1.87
Adm2,0,0,0,0,0,0,0,0.623
Adnp,8.605,12.008,8.66,5.719,6.428,4.35,11.355,8.725
Adnp2,203.662,214.434,287.527,290.855,202.494,192.854,134.745,89.122
Ado,87.489,96.066,76.212,58.825,128.568,104.402,98.409,124.023
Adora1,0,0,0,0,0,0,0,0
Adora2a,12.908,15.439,38.106,31.863,9.643,5.8,16.654,4.986
Adora2b,186.451,322.508,314.374,334.157,83.569,60.176,46.934,26.176
Adora3,30.119,72.907,65.819,53.923,64.284,50.026,39.364,36.147
Adpgk,694.173,679.325,442.549,459.976,459.629,415.433,527.626,423.796
Adprh,202.228,235.019,351.614,317,257.135,210.254,223.314,201.303
Adprhl1,0,0,0,0,0,0,0,0
Adprhl2,15.777,17.155,13.857,18.791,16.071,24.65,22.71,23.683
Adprm,81.752,90.92,131.639,121.734,125.353,109.477,86.298,70.425
Adra1a,0,0,0,0,0,0,0,0
Adra1b,0,0.858,0,0,0,0,0,1.87
Adra1d,0,0,0,0,0,0,0,0.623
Adra2a,0,2.573,0.866,0.817,0,0.725,4.542,4.986
Adra2b,4.303,12.866,8.66,20.425,3.214,5.8,0,0
Adra2c,0,0,0,0,0,0,0,0
Adrb1,17.211,5.146,12.125,6.536,6.428,10.15,26.495,12.465
Adrb2,193.623,230.73,249.421,245.103,122.139,108.752,445.114,473.654
Adrb3,0,0,0,0,0,0,0,0
Adrm1,84.62,72.907,96.131,100.492,93.211,68.151,86.298,78.527
Adsl,96.094,70.334,82.274,69.446,77.141,78.301,85.541,112.804
Adss,427.404,537.799,354.212,367.654,411.416,354.532,386.825,441.869
Adssl1,232.347,321.65,293.589,272.064,125.353,171.828,281.602,209.405
Adtrp,0,2.573,1.732,0,0,0.725,1.514,2.493
Aebp1,28.685,16.297,4.33,17.974,19.285,7.975,21.953,288.555
Aebp2,444.615,464.892,488.449,486.938,623.553,508.234,478.421,355.24
Aen,45.896,42.887,32.044,41.667,32.142,36.251,31.037,38.64
Aes,180.714,114.936,152.424,174.84,212.136,195.029,188.492,304.759
Afap1,30.119,36.883,47.632,35.131,41.784,45.676,37.093,86.629
Afap1l1,11.474,3.431,0.866,1.634,0,2.9,4.542,67.932
Afap1l2,0,0,0,0,0,0,0.757,0
Afdn,190.754,283.052,221.707,199.35,215.351,177.628,209.688,185.722
Aff1,966.679,1654.569,1645.484,1731.243,1044.611,1067.22,879.629,551.557
Aff2,2.868,0.858,1.732,0,0,0,0,4.986
Aff3,4.303,0,0,1.634,0,0.725,2.271,0.623
Aff4,2061.006,2404.229,2495.939,2320.307,1613.523,1824.134,1593.476,1079.432
Afg1l,32.988,24.017,28.579,28.595,6.428,31.901,28.009,30.538
Afg3l1,160.635,159.539,130.773,129.905,144.638,155.878,140.044,169.518
Afg3l2,220.873,288.199,206.118,169.121,324.633,313.206,272.519,269.235
Afm,0,0,0,0,0,0,0,0
Afmid,4.303,8.577,11.259,9.804,6.428,10.15,13.626,6.856
Afp,0,0,0,0,0,0,0,0
Aftph,923.652,941.792,1171.758,1050.674,986.756,1061.42,957.6,792.747
Aga,94.66,69.476,64.953,66.995,96.426,122.527,73.429,88.498
Agap1,50.198,63.472,59.757,42.485,51.427,32.626,47.691,169.518
Agap2,27.251,48.033,50.231,51.472,48.213,39.876,49.205,24.929
Agap3,51.633,43.744,37.24,48.204,28.928,42.776,55.261,86.006
Agbl1,0,0,0,0,0,0,0,0
Agbl2,0,0.858,0,0,0,0.725,0,0
Agbl3,8.605,8.577,6.928,2.451,9.643,4.35,6.813,13.711
Agbl4,0,0,0,0,0,0,0,0
Agbl5,30.119,22.301,23.383,16.34,25.714,20.3,34.822,29.292
Ager,2.868,7.72,3.464,4.902,0,7.975,9.841,7.479
Agfg1,557.92,710.204,677.246,598.051,546.412,544.485,486.748,649.404
Agfg2,48.764,54.037,36.374,39.216,48.213,42.051,59.803,64.816
Aggf1,285.414,265.04,313.508,265.528,241.064,281.305,253.594,241.813
Agk,30.119,26.59,21.651,23.693,35.356,36.251,31.794,50.482
Agl,193.623,227.3,156.754,158.5,176.78,210.254,299.77,317.847
Agmat,0,0,0,0,0,0,0,0
Agmo,38.725,32.594,13.857,21.242,25.714,36.976,31.037,50.482
Ago1,271.072,231.588,149.826,156.866,244.278,239.254,253.594,382.039
Ago2,1279.344,1812.392,1935.608,1829.285,1179.607,1456.552,936.404,661.869
Ago3,454.655,589.263,439.95,426.479,652.48,615.536,472.365,616.996
Ago4,150.595,135.522,115.184,120.1,86.783,108.027,165.782,139.603
Agpat1,70.278,54.037,112.586,123.368,99.64,105.127,99.166,113.428
Agpat2,55.935,40.314,25.981,32.68,9.643,17.4,60.56,43.626
Agpat3,136.253,120.941,231.234,268.796,134.996,160.228,191.52,410.085
Agpat4,67.409,103.786,129.041,142.977,77.141,60.176,102.194,62.323
Agpat5,205.097,242.739,188.798,211.605,327.847,249.405,199.847,209.405
Agps,1236.317,1294.321,1364.885,1216.527,1658.521,1586.329,1168.045,1090.65
Agr2,0,0,0,0,0,0,0,0
Agr3,0,0,0,0,0,0,0,0
Agrn,176.412,126.945,168.879,211.605,99.64,166.028,175.623,186.345
Agrp,0,0,0,0,0,0,0,0.623
Agt,0,0,0,0,0,0,0,1.87
Agtpbp1,358.56,474.327,554.268,529.422,376.06,379.907,312.639,183.852
Agtr1a,4.303,4.289,0,0,3.214,0,3.028,15.581
Agtr1b,0,0,0,0,0,0,0,0
Agtr2,0,0,0,0,0,0,0,0
Agtrap,286.848,285.625,228.636,276.149,218.565,193.579,368.657,253.654
Agxt,0,0,0,0,0,0,0,0
Agxt2,0,0,0,0,0,0,0,0
Ahctf1,596.645,636.439,520.492,474.683,559.269,524.185,510.215,443.116
Ahcy,55.935,45.46,33.776,31.046,57.855,54.376,40.878,44.249
Ahcyl1,608.119,675.037,620.954,596.417,703.907,612.636,669.941,752.86
Ahcyl2,567.96,524.076,769.913,715.7,813.19,815.64,580.616,393.257
Ahdc1,5.737,3.431,7.794,7.353,6.428,2.9,1.514,18.074
Ahi1,32.988,46.318,40.704,39.216,64.284,31.176,31.037,47.989
Ahnak,10391.083,20107.86,9034.572,7776.298,2060.295,1769.758,3754.7,5605.943
Ahnak2,15.777,22.301,4.33,5.719,0,9.425,3.785,80.397
Ahr,519.196,435.729,649.533,624.195,459.629,456.758,570.775,701.132
Ahrr,25.816,18.87,21.651,17.974,25.714,30.451,35.579,19.943
Ahsa1,428.838,383.407,546.474,540.86,552.84,594.511,381.526,345.892
Ahsa2,162.069,204.998,233.832,205.886,208.922,160.953,140.801,167.649
Ahsg,0,0,0,0,0,0,0,0
Aicda,0,0,0,0,0,0.725,0.757,0
Aida,298.322,267.613,464.2,468.964,289.277,287.83,357.302,252.408
Aif1,1528.902,1205.116,2409.335,2462.467,1857.801,1790.058,1587.42,870.651
Aif1l,0,0,0,0,0,0,0.757,1.246
Aifm1,159.201,174.978,158.486,146.245,141.424,140.653,127.175,171.388
Aifm2,84.62,73.765,90.069,99.675,64.284,54.376,71.915,53.598
Aifm3,0,0,0.866,0,0,0,0,0.623
Aig1,101.831,117.51,218.243,182.193,212.136,153.703,122.633,97.224
Aim2,715.687,741.94,872.972,796.584,687.836,653.237,694.165,293.541
Aimp1,245.255,228.157,185.333,194.448,128.568,201.554,197.576,162.663
Aimp2,35.856,32.594,38.106,18.791,32.142,28.276,28.009,51.728
Aip,104.7,83.2,148.96,175.657,80.355,107.302,102.194,115.297
Aipl1,2.868,0.858,0.866,0.817,0,0,0,0.623
Aire,0,0,0,0,0,0,0,0
Airn,1.434,3.431,3.464,3.268,3.214,2.175,3.785,32.408
Ajap1,0,0,0,0,0,0,0,0
Ajuba,2.868,1.715,0.866,0.817,0,2.9,2.271,18.697
Ak1,7.171,6.004,0.866,1.634,6.428,2.9,3.028,51.105
Ak2,375.771,306.211,445.147,419.943,324.633,305.231,314.153,186.345
Ak3,197.925,159.539,139.433,149.513,189.637,155.153,199.09,281.076
Ak3l2-ps,0,0,0,0,0,0,0,0
Ak4,12.908,13.724,12.125,6.536,38.57,22.475,26.495,30.538
Ak5,0,0,0,0,0,0,1.514,21.19
Ak6,57.37,62.615,84.872,62.91,70.712,81.927,56.018,38.017
Ak7,1.434,0,0.866,0.817,0,0,0,0
Ak8,10.04,12.008,3.464,9.804,0,5.075,15.14,13.088
Ak9,0,0,0,0,0,0,2.271,0
Akain1,0,0,0,0,0,0,0,0
Akap1,15.777,13.724,11.259,8.987,28.928,18.125,12.869,66.685
Akap10,382.943,371.399,369.801,317.817,395.345,382.807,475.393,372.068
Akap11,318.402,268.471,280.598,246.737,417.845,374.832,333.835,459.32
Akap12,5.737,5.146,0.866,0.817,3.214,3.625,3.785,4.363
Akap13,1696.708,2372.492,2128.736,1883.207,1652.093,1784.983,2181.662,1584.871
Akap14,0,0,0,0,0,0,0,0
Akap17b,17.211,18.012,6.928,13.889,25.714,18.125,34.065,34.901
Akap2,0,0,0,0,0,0,0,0
Akap3,1.434,0,3.464,4.902,9.643,8.7,0.757,0.623
Akap4,0,0,0,0,0,0,0,0
Akap5,4.303,3.431,1.732,0,3.214,0.725,6.056,1.87
Akap6,0,0,0,1.634,0,0,0,1.87
Akap7,90.357,114.936,93.533,87.42,48.213,87.002,130.203,137.734
Akap8,602.382,496.628,459.003,507.363,533.555,533.61,618.466,535.977
Akap8l,219.439,184.413,146.361,143.794,160.709,198.654,214.23,215.637
Akap9,569.394,569.535,516.162,411.773,623.553,598.861,684.324,494.844
Akip1,41.593,23.159,31.178,25.327,35.356,33.351,28.766,34.901
Akirin1,536.406,642.443,677.246,590.698,594.625,485.759,576.074,450.594
Akirin1-ps,0,0,0,0,0,0,0,0
Akirin2,236.65,205.856,208.717,184.644,269.992,234.179,210.445,217.507
Akna,344.218,451.168,433.022,511.448,347.132,348.731,727.473,409.461
Aknad1,0,0,0,0,0,0,0,0.623
Aknaos,0,0.858,0,0,0,0.725,0,0
Akp-ps1,0,1.715,0,0,0,0,0,0
Akp3,0,0,0,0,0,0,0,0
Akr1a1,2283.313,1917.893,2345.247,2512.305,1918.871,2014.812,2267.96,2099.035
Akr1b10,174.978,161.254,165.414,193.631,183.209,193.579,219.529,161.416
Akr1b3,193.623,180.124,186.199,217.325,218.565,249.405,219.529,301.643
Akr1b7,1.434,0.858,0,0,3.214,0,0.757,0.623
Akr1b8,10.04,9.435,6.928,10.621,9.643,10.15,8.327,69.802
Akr1c12,4.303,1.715,0.866,1.634,0,1.45,7.57,4.986
Akr1c13,97.528,56.61,64.087,68.629,118.925,85.552,67.373,102.833
Akr1c14,1.434,0.858,0.866,0,0,0,1.514,4.986
Akr1c18,0,1.715,0.866,0.817,6.428,0,0.757,0
Akr1c19,0,0,0,0,0,0,0,0
Akr1c20,0,0,0,0,0,0,0,0
Akr1c21,0,0,0,0,0,0,0,0
Akr1c6,0,0,0,0,0,0,0,0
Akr1cl,0,0,0,0,0,0,0,0
Akr1d1,0,0,0,0,0,0,0,0
Akr1e1,64.541,33.452,25.115,26.144,93.211,97.152,62.831,83.513
Akr7a5,17.211,5.146,3.464,8.17,3.214,10.15,12.112,28.045
Akt1,457.523,453.741,466.798,503.278,318.205,409.633,541.252,589.574
Akt1s1,12.908,12.866,13.857,10.621,22.499,13.775,13.626,28.045
Akt2,256.729,217.007,272.804,267.979,208.922,235.629,269.491,276.714
Akt2-ps,0,0.858,1.732,2.451,3.214,1.45,1.514,2.493
Akt3,420.233,297.634,736.137,654.425,318.205,387.882,508.701,173.881
Aktip,58.804,62.615,37.24,45.753,70.712,46.401,52.99,123.399
Alad,7.171,3.431,2.598,5.719,6.428,7.975,6.056,15.581
Alas1,371.469,680.183,861.714,870.115,321.419,372.657,321.723,254.277
Alas2,2.868,12.008,6.062,6.536,3.214,1.45,29.523,40.51
Alb,0,0,0,0.817,0,0,0,0
Alcam,388.68,507.779,475.458,388.897,411.416,329.881,361.087,396.997
Aldh16a1,54.501,48.033,52.829,71.897,25.714,48.576,65.859,89.122
Aldh18a1,63.107,66.903,88.336,84.152,141.424,105.127,54.504,122.776
Aldh1a1,0,0,0.866,0,0,0,5.299,1.246
Aldh1a2,1.434,1.715,0.866,0.817,0,0.725,6.813,1.87
Aldh1a3,0,0.858,0,0.817,6.428,5.075,0,0.623
Aldh1a7,0,0,0,0,0,0,0,0
Aldh1b1,71.712,36.025,87.47,74.348,54.641,97.877,118.848,59.207
Aldh1l1,10.04,10.293,37.24,37.582,25.714,26.1,24.981,6.232
Aldh1l2,2.868,2.573,1.732,1.634,3.214,2.9,3.028,4.986
Aldh2,209.399,199.852,192.262,238.567,147.853,152.978,225.585,324.079
Aldh3a1,0,0,0,0,0,0,0,0
Aldh3a2,388.68,323.366,325.633,377.458,334.276,338.581,348.975,378.923
Aldh3b1,177.846,168.116,271.072,274.515,147.853,155.878,167.296,146.459
Aldh3b2,1.434,0,0,0.817,0,0,0,0
Aldh3b3,0,1.715,0,0,0,0,0.757,0.623
Aldh4a1,21.514,20.586,25.115,30.229,32.142,30.451,24.224,32.408
Aldh5a1,5.737,7.72,2.598,0,22.499,6.525,10.598,14.957
Aldh6a1,80.318,78.054,31.178,33.497,28.928,68.151,89.326,170.765
Aldh7a1,30.119,30.021,15.589,35.948,38.57,31.901,43.906,165.156
Aldh8a1,0,0,0,0,0,0,0.757,0
Aldh9a1,285.414,197.279,193.128,200.167,305.348,268.98,198.333,287.932
Aldoa,1336.713,1191.393,1415.116,1429.767,1934.942,1734.232,1740.334,1446.514
Aldoart1,0,0,0,0.817,0,0,0,0
Aldoart2,0,0.858,0,0,3.214,0,0,0
Aldob,0,0,0,0,0,0,0,0
Aldoc,71.712,42.029,43.302,53.106,99.64,90.627,96.138,25.552
Alg1,64.541,42.887,69.284,77.616,61.07,84.102,56.018,94.108
Alg10b,213.702,247.027,171.477,151.964,241.064,232.004,222.557,356.487
Alg11,83.186,68.619,80.542,76.799,109.282,121.077,98.409,104.702
Alg12,44.462,42.029,66.685,63.727,41.784,64.526,49.962,54.221
Alg13,86.055,101.213,111.72,116.015,186.423,126.877,82.513,109.688
Alg14,55.935,34.309,35.508,34.314,51.427,50.026,29.523,101.586
Alg2,60.238,45.46,32.91,35.131,77.141,68.876,43.149,128.385
Alg3,45.896,33.452,32.044,40.85,32.142,47.851,37.093,42.38
Alg5,314.099,306.211,219.975,227.129,228.207,250.13,264.949,197.564
Alg6,54.501,38.598,47.632,37.582,134.996,97.877,62.831,88.498
Alg8,117.608,99.497,103.925,105.394,199.28,185.603,99.166,149.575
Alg9,91.791,78.912,86.604,93.956,115.711,94.252,88.569,107.195
Alk,0,0,0,0,0,0,0,0
Alkal1,0,0,0,0,0,0,0,0
Alkal2,0,0,0,0,0,0,0,0
Alkbh1,170.675,128.66,129.041,128.271,170.352,168.203,143.829,100.34
Alkbh2,2.868,2.573,4.33,3.268,3.214,4.35,4.542,13.088
Alkbh3,88.923,63.472,67.551,75.982,51.427,56.551,80.999,75.411
Alkbh3os1,0,0,0,0,0,0.725,0,0
Alkbh4,12.908,7.72,3.464,7.353,9.643,7.25,11.355,17.45
Alkbh5,612.421,704.2,691.969,626.646,620.338,609.011,625.279,607.648
Alkbh6,28.685,14.581,39.838,28.595,6.428,17.4,25.738,24.306
Alkbh7,4.303,4.289,8.66,5.719,0,7.25,6.056,8.102
Alkbh8,74.581,76.338,47.632,53.923,115.711,100.052,105.222,105.949
Allc,0,0,0,0,0,0,0.757,0
Alms1,96.094,86.631,88.336,75.982,157.495,157.328,114.306,100.963
Alms1-ps1,0,0,0,0,0,0,0,0.623
Alms1-ps2,0,0,0,0,0,0,0,0.623
Alox12,0,0,0,0,0,0,1.514,0
Alox12b,0,0,0,0,0,0,0,0
Alox12e,0,0,0,0,0,0,3.028,3.116
Alox15,41.593,54.895,7.794,15.523,16.071,20.3,317.181,257.393
Alox5,67.409,119.225,19.919,48.204,32.142,14.5,152.913,363.966
Alox5ap,2244.589,2955.752,2168.574,2434.689,948.186,1024.444,1794.08,1194.106
Alox8,0,0,0,0,0,0.725,0,0
Aloxe3,2.868,8.577,1.732,1.634,0,3.625,6.813,1.246
Alpi,0,0,0,0,0,0,0,0
Alpk1,2475.502,2865.69,2990.45,2797.441,1726.019,1729.882,537.467,260.51
Alpk2,1.434,13.724,6.062,13.889,0,4.35,4.542,0
Alpk3,1.434,0,0,0,3.214,1.45,0,0
Alpl,0,0,0,0,0,0,0.757,0
Alppl2,0,0,0,0,0,0,0,0
Als2,160.635,138.095,168.013,158.5,144.638,173.278,110.521,133.994
Als2cl,37.29,12.866,12.125,15.523,9.643,18.85,33.308,9.348
Als2cr12,0,0.858,2.598,6.536,0,1.45,0,0
Alx1,0,0,0,0,0,0,0,0
Alx3,0,0,0,0,0,0,0,0
Alx4,0,0,0,0,0,0,0,0.623
Alyref,167.806,204.141,202.654,191.18,179.995,203.004,163.511,157.677
Alyref2,4.303,3.431,7.794,4.085,3.214,5.8,7.57,7.479
Amacr,22.948,6.004,6.928,13.072,16.071,5.8,11.355,24.929
Ambn,0,0,0,0,0,0,0,0
Ambp,1.434,6.862,0.866,0,0,0,0,1.87
Ambra1,291.151,262.467,339.489,379.909,228.207,291.455,298.256,254.277
Amd-ps1,0,0,0,0,0,0,0,0
Amd-ps3,4.303,8.577,5.196,4.902,9.643,7.975,9.841,0.623
Amd-ps4,0,0,0,0,0,0,0,0
Amd-ps5,0,0,0,0,0,0,0,0
Amd1,265.335,282.195,228.636,263.077,241.064,264.63,224.828,170.765
Amd2,0,1.715,0.866,0,0,0,0.757,0
Amdhd1,0,0,0,0,0,0,0,0.623
Amdhd2,50.198,45.46,51.963,75.165,41.784,47.851,52.233,70.425
Amelx,0,0,0,0,0,0,0,0
Amer1,31.553,30.878,33.776,25.327,32.142,31.176,37.85,66.062
Amer2,17.211,30.878,9.526,7.353,9.643,3.625,2.271,2.493
Amer3,0,0,0,0,0,0,0,0
Amfr,536.406,524.933,447.745,515.533,459.629,524.91,607.868,663.739
Amh,0,0,0,0.817,0,0.725,0,0
Amhr2,1.434,0.858,0,1.634,0,0,0,0.623
Amigo1,15.777,8.577,9.526,6.536,28.928,13.775,14.383,40.51
Amigo2,2.868,6.862,3.464,4.902,6.428,0.725,9.841,51.728
Amigo3,10.04,12.866,24.249,30.229,19.285,21.025,12.112,14.957
Ammecr1,111.871,88.347,93.533,90.688,73.926,94.252,102.951,97.224
Ammecr1l,361.429,403.993,400.112,373.373,376.06,368.307,303.555,324.079
Amn,1.434,0,0.866,1.634,0,0,0,0
Amn1,117.608,147.53,130.773,121.734,77.141,73.226,96.138,76.034
Amot,38.725,26.59,25.115,35.948,19.285,10.15,28.766,135.864
Amotl1,15.777,13.724,2.598,5.719,12.857,8.7,13.626,179.49
Amotl2,8.605,8.577,21.651,21.242,3.214,5.075,15.897,23.059
Ampd1,1.434,6.004,1.732,3.268,3.214,1.45,0.757,0.623
Ampd2,91.791,68.619,70.15,79.25,93.211,80.476,70.401,115.297
Ampd3,180.714,221.295,144.629,165.853,41.784,52.201,118.091,170.765
Amph,0,0,0,0,0,0,0,0
Amt,0,0.858,1.732,1.634,6.428,7.975,1.514,10.595
Amtn,0,0,0,0,0,0,0,0
Amy1,0,5.146,1.732,2.451,0,0.725,3.028,4.363
Amy2-ps1,0,0,0,0,0,0,0,0
Amy2a1,0,0,0,0,0,0,0,0
Amy2a2,0,0,0,0,0,0,0,0
Amy2a3,0,0,0,0,0,0,0,0
Amy2a4,0,0,0,0,0,0,0,0
Amy2a5,0,0,0,0,0,0,0,0
Amy2b,0,0,0,0,0,0,0,0
Amz1,150.595,151.819,241.626,326.804,170.352,248.68,125.661,36.77
Amz2,222.308,264.182,231.234,285.953,202.494,258.83,173.352,172.634
Anapc1,658.317,605.56,593.24,560.469,822.832,783.739,732.772,789.008
Anapc10,96.094,105.501,116.05,112.747,131.782,119.627,90.84,76.034
Anapc11,80.318,64.33,55.427,52.289,54.641,52.926,52.233,70.425
Anapc13,43.027,36.883,53.695,74.348,32.142,44.951,44.663,54.844
Anapc15,55.935,60.899,57.159,71.08,73.926,83.377,67.373,94.108
Anapc15-ps,0,0,0,0,0,0,0,0
Anapc16,187.886,180.124,142.031,175.657,125.353,155.878,175.623,148.952
Anapc2,220.873,204.998,169.745,181.376,173.566,222.579,246.781,302.266
Anapc4,233.781,275.333,194.86,193.631,266.778,258.105,261.921,289.801
Anapc5,823.255,703.342,650.399,639.719,655.694,788.815,882.657,759.093
Anapc7,86.055,114.079,91.801,98.041,73.926,99.327,102.194,137.734
Ang,144.858,62.615,34.642,49.838,70.712,73.226,110.521,124.023
Ang-ps1,0,0,0,0,0,0,0,0
Ang-ps2,0,0,0,0,0,0,0,0
Ang-ps3,0,0,0,0,0,0,0,0
Ang2,0,0,0,0,0,0,0,0
Ang4,0,0,0,0,0,0,0,0
Ang5,0,0,0,0,0,0,0,0
Ang6,0,0,0,0,0,0,0,0
Angel1,4.303,6.862,1.732,3.268,9.643,5.8,9.084,23.683
Angel2,390.114,359.391,343.819,301.477,241.064,285.655,288.415,292.294
Angpt1,1.434,0.858,1.732,0,0,0.725,2.271,18.697
Angpt2,7.171,11.151,6.928,9.804,16.071,5.075,1.514,2.493
Angpt4,0,0,0,0,0,0,0,0.623
Angptl1,0,0,0,0,0,0,0,0.623
Angptl2,24.382,12.008,7.794,14.706,38.57,10.875,24.981,187.592
Angptl3,4.303,3.431,4.33,2.451,3.214,9.425,4.542,3.116
Angptl4,14.342,9.435,15.589,21.242,12.857,27.551,3.028,5.609
Angptl6,1.434,0.858,0,2.451,3.214,1.45,3.028,1.246
Angptl7,0,0.858,0,0,0,0,3.028,4.363
Angptl8,0,0,0,0,0,0,0,0
Ank,167.806,150.103,100.461,93.139,99.64,68.876,162.754,863.795
Ank1,8.605,4.289,6.062,4.902,9.643,4.35,3.028,12.465
Ank2,106.134,68.619,119.514,132.356,44.999,22.475,5.299,31.785
Ank3,17.211,13.724,9.526,13.889,12.857,7.975,14.383,171.388
Ankar,0,0,0,0,0,0,0,0
Ankdd1a,5.737,6.862,3.464,6.536,6.428,2.9,0,0.623
Ankdd1b,0,0,0,0.817,0,0,0,1.246
Ankef1,0,0,0,0,0,0,0,1.246
Ankfn1,0,0,0,0,0,0,0,0
Ankfy1,1341.016,1312.333,1837.746,1593.986,1629.594,1734.232,1520.805,1238.356
Ankhd1,965.245,1085.891,1176.088,977.961,1198.892,1109.271,913.694,811.444
Ankib1,355.692,347.382,384.524,422.394,417.845,381.357,429.974,301.019
Ankk1,0,0.858,0,0.817,0,0,0,0
Ankle1,4.303,3.431,3.464,3.268,6.428,14.5,2.271,8.725
Ankle2,474.734,470.896,696.299,644.621,578.554,655.412,1071.906,416.94
Ankmy1,0,0.858,4.33,3.268,3.214,1.45,0.757,0.623
Ankmy2,68.844,55.753,56.293,52.289,83.569,92.077,99.166,110.311
Ankra2,127.648,93.493,117.782,98.041,125.353,103.677,99.923,92.861
Ankrd1,0,0,0,0,0,0,1.514,1.87
Ankrd10,169.241,145.815,120.38,129.905,173.566,176.903,165.782,282.946
Ankrd11,1310.897,1589.381,1512.979,1444.473,1272.819,1293.424,1218.006,909.914
Ankrd12,390.114,456.315,302.249,290.038,404.988,367.582,411.049,320.34
Ankrd13a,633.935,572.966,714.486,658.51,482.128,526.36,623.765,603.285
Ankrd13b,5.737,0.858,0,0,3.214,0,3.028,21.19
Ankrd13c,438.878,466.607,421.763,393.799,437.13,417.608,350.489,289.801
Ankrd13d,22.948,30.878,21.651,29.412,19.285,26.825,18.168,38.64
Ankrd16,327.007,367.968,233.832,264.711,170.352,213.154,588.943,263.626
Ankrd17,1095.761,1303.756,1422.91,1163.422,1330.674,1283.999,1138.522,959.149
Ankrd2,0,0.858,0,0,0,0,0,0.623
Ankrd22,14.342,37.74,5.196,5.719,3.214,2.175,2.271,2.493
Ankrd23,0,1.715,1.732,2.451,0,0.725,1.514,2.493
Ankrd24,17.211,6.004,5.196,5.719,9.643,13.05,12.869,19.32
Ankrd26,101.831,78.912,49.365,32.68,131.782,63.076,43.149,109.065
Ankrd27,174.978,176.693,183.601,158.5,138.21,151.528,126.418,179.49
Ankrd28,153.464,253.032,84.006,103.76,73.926,79.026,91.597,275.467
Ankrd29,0,2.573,0,0.817,0,0.725,2.271,17.45
Ankrd31,0,0,0,0,0,0,0,0
Ankrd33,0,0,0,0,0,0,0,0
Ankrd33b,51.633,126.087,70.15,62.093,41.784,26.825,65.859,30.538
Ankrd34a,0,0,0,0,0,0,0,1.246
Ankrd34b,0,0,0,0,0,0,0,0
Ankrd34c,2.868,1.715,0,0.817,0,0,2.271,0
Ankrd35,0,1.715,0,1.634,0,0,0,2.493
Ankrd36,0,0,0,0,0,0,0,0
Ankrd37,11.474,28.305,25.115,26.144,41.784,25.375,31.037,33.031
Ankrd39,20.079,24.017,8.66,9.804,12.857,21.75,12.869,14.334
Ankrd40,282.546,257.32,236.43,241.835,269.992,291.455,211.959,318.47
Ankrd42,2.868,1.715,2.598,0.817,0,2.175,0.757,8.725
Ankrd44,1161.736,1416.119,1326.78,1256.561,951.4,1051.269,1611.644,743.512
Ankrd45,0,0,0,0,0,0,0,0
Ankrd46,58.804,63.472,50.231,48.204,73.926,70.326,69.644,127.762
Ankrd49,96.094,128.66,125.576,111.113,134.996,122.527,107.493,94.108
Ankrd50,120.476,115.794,97.863,113.564,115.711,118.902,165.782,238.073
Ankrd52,311.231,267.613,281.464,249.188,231.422,297.255,303.555,344.646
Ankrd53,0,0,0,0,0,0,0,0
Ankrd54,14.342,24.017,25.115,27.778,16.071,21.75,27.252,38.64
Ankrd55,0,0.858,0.866,0,0,0,0,0
Ankrd6,2.868,5.146,0.866,0.817,0,0.725,1.514,13.088
Ankrd60,0,0,0,0,0,0,0,0
Ankrd61,0,0,0.866,0,0,0.725,0.757,0.623
Ankrd63,0,0,0,0,0,0,0,0
Ankrd65,0,0,0,0,0,0,0,0
Ankrd66,27.251,36.883,34.642,31.046,35.356,19.575,18.925,20.567
Ankrd7,0,0.858,0,0,0,0,0,0
Ankrd9,0,0.858,1.732,4.902,3.214,4.35,7.57,1.87
Anks1,169.241,152.677,209.583,236.933,102.854,152.978,199.847,205.665
Anks1b,0,0,0,0,0,0,1.514,2.493
Anks3,45.896,61.757,58.891,74.348,61.07,67.426,92.354,98.47
Anks4b,0,0,0,0,0,0,0,0
Anks6,2.868,2.573,1.732,0.817,3.214,5.075,1.514,17.45
Ankub1,0,0,0,0,0,0.725,0,0
